"","X","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec..","X0","artist_age","artist_dead","artist_age_acq"
"4282","4281","Echecs, Championnat de France 1925","Marcel Duchamp","1634","American, born France. 1887–1968","American",1887,"1968.0","Male","1925.0","Lithograph","30 1/2 x 22 7/8"" (77.5 x 58.1 cm)","Purchase","150.1952","Design","Architecture & Design","1952-05-20","Y","5291","http://www.moma.org/collection/works/5291","http://www.moma.org/media/W1siZiIsIjIxMDQ2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e4ff91d3b6ebe1d",NA,NA,NA,77.5,NA,NA,58.1,NA,"","American",38,0,16
"6980","6979","Wanted $2,000 Reward, A Retrospective Exhibition by or of Marcel Duchamp or Rrose Sélavy","Marcel Duchamp","1634","American, born France. 1887–1968","American",1887,"1968.0","Male","1963.0","Offset lithograph","34 1/2 x 27"" (87.6 x 68.5 cm)","Gift of the Pasadena Art Museum","749.1963","Design","Architecture & Design","1963-12-10","Y","8036","http://www.moma.org/collection/works/8036","http://www.moma.org/media/W1siZiIsIjk1ODAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=73e36cc2caaacfc9",NA,NA,NA,87.6,NA,NA,68.5,NA,"","American",76,0,5
"7931","7930","Paris Review","Helen Frankenthaler","1974","American, 1928–2011","American",1928,"2011.0","Female","1967.0","Lithograph","31 x 23"" (78.7 x 58.4 cm)","Gift of Page, Arbitrio and Resen","2285.1967","Design","Architecture & Design","1967-10-18","Y","8988","http://www.moma.org/collection/works/8988","http://www.moma.org/media/W1siZiIsIjEyMDk5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=01940de42a70dbbf",NA,NA,NA,78.7,NA,NA,58.4,NA,"","American",39,0,44
"9549","9548","In-text plate (folio 2) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 15 11/16 × 11 1/8"" (39.8 × 28.2 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.1","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10613","http://www.moma.org/collection/works/10613","",NA,NA,NA,39.8,NA,NA,28.2,NA,"","American",67,1,-1
"9550","9549","Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Illustrated book with eight lithographs","composition (see child records): dimensions vary; page (each): 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.1-8","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10614","http://www.moma.org/collection/works/10614","",NA,NA,NA,48,NA,NA,35.9,NA,"","American",67,1,-1
"9551","9550","In-text plate (folio 3) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 17 × 13 15/16"" (43.2 × 35.4 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.2","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10615","http://www.moma.org/collection/works/10615","",NA,NA,NA,43.2,NA,NA,35.4,NA,"","American",67,1,-1
"9552","9551","In-text plate (folio 4) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 16 × 12 3/16"" (40.6 × 31 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.3","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10616","http://www.moma.org/collection/works/10616","",NA,NA,NA,40.6,NA,NA,31,NA,"","American",67,1,-1
"9553","9552","Double page in-text plate (folios 5 verso and 6) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 17 1/8 × 24 3/16"" (43.5 × 61.5 cm); page: 17 1/8 × 28 1/4"" (43.5 × 71.8 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.4","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10617","http://www.moma.org/collection/works/10617","",NA,NA,NA,43.5,NA,NA,61.5,NA,"","American",67,1,-1
"9554","9553","Double page in-text plate (folios 7 verso and 8) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 16 5/8 × 26 1/8"" (42.3 × 66.3 cm); page: 18 7/8 × 28 1/4"" (48 × 71.8 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.5","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10618","http://www.moma.org/collection/works/10618","",NA,NA,NA,42.3,NA,NA,66.3,NA,"","American",67,1,-1
"9555","9554","In-text plate (folio 9) from Bridge","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 15 9/16 × 12"" (39.5 × 30.5 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.6","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10619","http://www.moma.org/collection/works/10619","",NA,NA,NA,39.5,NA,NA,30.5,NA,"","American",67,1,-1
"9556","9555","In-text plate (folio 10) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 16 1/4 × 13 3/16"" (41.3 × 33.5 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.7","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10620","http://www.moma.org/collection/works/10620","",NA,NA,NA,41.3,NA,NA,33.5,NA,"","American",67,1,-1
"9557","9556","In-text plate (folio 11) from Poems","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1992.0","Lithograph from an illustrated book with eight lithographs","composition (irreg.): 16 5/8 × 13"" (42.2 × 33 cm); page: 18 7/8 × 14 1/8"" (48 × 35.9 cm)","Gift of Tyler Graphics in memory of Joan Mitchell","37.1993.8","Illustrated Book","Prints & Illustrated Books","1993-01-18","Y","10621","http://www.moma.org/collection/works/10621","",NA,NA,NA,42.2,NA,NA,33,NA,"","American",67,1,-1
"9698","9697","Couple of Laundress' Aprons","Marcel Duchamp","1634","American, born France. 1887–1968","American",1887,"1968.0","Male","1959.0","Two multiples of cloth and fur","overall (male, irreg.): 9 x 6 15/16 x 1 1/4"" (22.8 x 17.7 x 3.2 cm); overall (female, irreg.): 9 3/4 x 7 13/16 x 7/8"" (24.8 x 19.8 x 2.3 cm)","Gift of Arthur A. Goldberg","51.1977","Illustrated Book","Prints & Illustrated Books","1977-02-10","Y","10768","http://www.moma.org/collection/works/10768","http://www.moma.org/media/W1siZiIsIjIyNjY2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5aed0c44e1d45191",NA,3.2,NA,22.8,NA,NA,17.7,NA,"","American",72,1,-9
"10100","10099","Plate (folio 34 recto) from In Memory of My Feelings","Joan Mitchell","4026","American, 1925–1992","American",1925,"1992.0","Female","1967.0","One from an illustrated book with 46 lithographs","composition (irreg.): 11 7/16 x 8 13/16"" (29 x 22.4cm); page: 11 15/16 x 9"" (30.4 x 22.8 cm)","Gift of The Museum of Modern Art Department of Publications","92.1968.13","Illustrated Book","Prints & Illustrated Books","1968-02-05","Y","11173","http://www.moma.org/collection/works/11173","http://www.moma.org/media/W1siZiIsIjMwMzMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c65a2e37fbf85514",NA,NA,NA,29,NA,NA,22.4,NA,"","American",42,0,24
